sales_representative,location,region,customer,order_date,item,quantity,price,total_sales
Sara Snyder,Massachusetts,East,Raymond Young,2016-01-01,Junk,6,12.42,74.52
Sara Snyder,New York,East,Helen Dean,2016-01-01,Junk,7,12.42,86.94
Diane Gonzalez,Washington,West,Shirley Chavez,2016-01-01,Stuff,2,16.32,32.64
Sara Snyder,New Jersey,East,Brian Ryan,2016-01-01,Junk,1,12.42,12.42
Sara Snyder,New Jersey,East,Benjamin Willis,2016-01-01,Things,3,17.83,53.49
Patrick Graham,Washington,West,Annie Jenkins,2016-01-01,Widgets,6,53.35,320.1
Sara Snyder,New York,East,Christina Little,2016-01-01,Widgets,6,53.35,320.1
Patrick Graham,Washington,West,Mary Green,2016-01-01,Stuff,9,16.32,146.88
Randy Watson,New York,East,Ruby Matthews,2016-01-02,Things,6,17.83,106.98
Sara Snyder,New York,East,Christopher Oliver,2016-01-02,Junk,8,12.42,99.36
Randy Watson,Massachusetts,East,Kathryn Fox,2016-01-02,Junk,9,12.42,111.78
Patrick Graham,Oregon,West,Carl Lawson,2016-01-02,Junk,4,12.42,49.68
Sara Snyder,Massachusetts,East,Walter Kennedy,2016-01-02,Junk,1,12.42,12.42
Patrick Graham,Washington,West,Pamela Alexander,2016-01-02,Junk,4,12.42,49.68
Sara Snyder,New York,East,Gloria Harper,2016-01-02,Stuff,8,16.32,130.56
Randy Watson,New York,East,Harold Hunter,2016-01-02,Widgets,10,53.35,533.5
Patrick Graham,Washington,West,Judy Sanchez,2016-01-02,Widgets,7,53.35,373.45
Diane Gonzalez,Washington,West,Christine Wallace,2016-01-02,Junk,4,12.42,49.68
Sara Snyder,Massachusetts,East,Lori Shaw,2016-01-02,Stuff,7,16.32,114.24
Sara Snyder,New York,East,Sandra Hicks,2016-01-02,Widgets,1,53.35,53.35
Randy Watson,Massachusetts,East,Roger Gomez,2016-01-02,Stuff,7,16.32,114.24
Sara Snyder,New Jersey,East,Kimberly Coleman,2016-01-02,Things,1,17.83,17.83
Frances Warren,New York,East,Heather Andrews,2016-01-02,Junk,7,12.42,86.94
Patrick Graham,Oregon,West,Rachel Harris,2016-01-03,Junk,2,12.42,24.84
Patrick Graham,Washington,West,Susan Jacobs,2016-01-03,Widgets,9,53.35,480.15
Sara Snyder,Massachusetts,East,Gary Young,2016-01-03,Things,3,17.83,53.49
Randy Watson,New York,East,Anthony Berry,2016-01-03,Things,9,17.83,160.47
Patrick Graham,California,West,Joan Robinson,2016-01-03,Junk,2,12.42,24.84
Sara Snyder,New York,East,Frank Ramos,2016-01-03,Stuff,1,16.32,16.32
Diane Gonzalez,Oregon,West,Raymond Matthews,2016-01-03,Junk,1,12.42,12.42
Diane Gonzalez,California,West,Mary Rose,2016-01-03,Things,10,17.83,178.3
Patrick Graham,Washington,West,Jerry Collins,2016-01-03,Things,9,17.83,160.47
Randy Watson,New Jersey,East,Randy Willis,2016-01-03,Things,3,17.83,53.49
Diane Gonzalez,Washington,West,Denise Henry,2016-01-03,Widgets,9,53.35,480.15
Sara Snyder,New York,East,Albert Miller,2016-01-03,Junk,6,12.42,74.52
Patrick Graham,California,West,Evelyn Elliott,2016-01-03,Widgets,3,53.35,160.05
Frances Warren,Massachusetts,East,Mary Nelson,2016-01-03,Things,8,17.83,142.64
Randy Watson,New York,East,Mark Parker,2016-01-03,Things,5,17.83,89.15
Randy Watson,New Jersey,East,Victor Bell,2016-01-03,Stuff,3,16.32,48.96
Randy Watson,Massachusetts,East,Walter Kennedy,2016-01-03,Junk,2,12.42,24.84
Sara Snyder,New York,East,Anthony Berry,2016-01-03,Stuff,6,16.32,97.92
Randy Watson,Massachusetts,East,William Payne,2016-01-03,Junk,1,12.42,12.42
